Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,35,42,7
Chart2,org.jfree.data.general.DatasetUtilities#755,103,102,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,101,104,3
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,91,92,1
Chart2,org.jfree.data.general.DatasetUtilities#1243,94,93,-1
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,6,3,-3
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,88,179,91
Chart5,org.jfree.data.xy.XYSeries#548,5,8,3
Chart6,org.jfree.chart.util.ShapeList#111,61,104,43
Chart7,org.jfree.data.time.TimePeriodValues#300,42,81,39
Chart7,org.jfree.data.time.TimePeriodValues#302,103,82,-21
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,3,14,11
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,5,4
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,21,13,-8
Chart13,org.jfree.chart.block.BorderArrangement#454,43,47,4
Chart14,org.jfree.chart.plot.XYPlot#2293,21,19,-2
Chart14,org.jfree.chart.plot.XYPlot#2529,22,26,4
Chart14,org.jfree.chart.plot.CategoryPlot#2166,20,6,-14
Chart14,org.jfree.chart.plot.CategoryPlot#2448,23,13,-10
Chart15,org.jfree.chart.plot.PiePlot#1379,6850,6721,-129
Chart15,org.jfree.chart.plot.PiePlot#2051,24,29,5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,7,2,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,36,37,1
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,2,9,7
Chart18,org.jfree.data.DefaultKeyedValues2D#455,11,10,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,9,13,4
Chart18,org.jfree.data.DefaultKeyedValues2D#460,14,15,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,3,1,-2
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,7,5,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,32,80,48
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,104,81,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,116,82,-34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,72,83,11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,111,84,-27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,110,85,-25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,71,86,15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,107,87,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,125,88,-37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,130,89,-41
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,23,24,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,6,3,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,131,4,-127
