Project,MinRank1,MinRank2,Difference
Chart1,33,42,9
Chart2,91,92,1
Chart3,1,3,2
Chart4,191,-1,-1
Chart5,4,8,4
Chart6,48,57,9
Chart7,49,81,32
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,21,13,-8
Chart13,43,47,4
Chart14,19,6,-13
Chart15,22,29,7
Chart16,4,1,-3
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,7,3,-4
Chart22,1,12,11
Chart24,3,3,0
Chart25,194,-1,-1
Chart26,235,-1,-1
Closure1,421,-1,-1
Closure2,93,95,2
Closure3,499,-1,-1
Closure4,708,-1,-1
Closure5,807,-1,-1
Closure6,1,1,0
Closure7,2,2,0
Closure8,522,-1,-1
Closure9,1,1,0
Closure10,159,-1,-1
Closure11,83,-1,-1
Closure12,88,-1,-1
Closure13,1946,-1,-1
Closure14,2,3,1
Closure15,1424,-1,-1
Closure16,524,-1,-1
Closure17,1950,-1,-1
Closure18,236,-1,-1
Closure19,1,1,0
Closure20,4,2,-2
Closure21,7,7,0
Closure22,2,2,0
Closure23,3,8,5
Closure24,1,1,0
Closure25,107,107,0
Closure26,24,5,-19
Closure27,2,3,1
Closure29,988,-1,-1
Closure30,365,-1,-1
Closure31,260,-1,-1
Closure32,38,35,-3
Closure33,533,-1,-1
Closure34,267,-1,-1
Closure35,6,6,0
Closure36,917,-1,-1
Closure37,216,-1,-1
Closure38,378,-1,-1
Closure39,51,68,17
Closure40,1286,-1,-1
Closure41,1798,-1,-1
Closure42,1,1,0
Closure43,623,-1,-1
Closure44,422,-1,-1
Closure45,635,-1,-1
Closure46,1,1,0
Closure47,2197,-1,-1
Closure48,1428,-1,-1
Closure49,112,-1,-1
Closure50,88,88,0
Closure51,168,-1,-1
Closure52,268,-1,-1
Closure53,43,47,4
Closure54,35,39,4
Closure55,564,-1,-1
Closure56,42,59,17
Closure57,38,48,10
Closure58,4,7,3
Closure59,1392,-1,-1
Closure60,24,29,5
Closure61,267,-1,-1
Closure62,1,4,3
Closure63,1,4,3
Closure64,494,-1,-1
Closure65,66,71,5
Closure66,592,-1,-1
Closure67,365,-1,-1
Closure68,3,3,0
Closure69,1089,-1,-1
Closure70,841,-1,-1
Closure71,1146,-1,-1
Closure72,539,-1,-1
Closure73,428,-1,-1
Closure74,72,71,-1
Closure75,7,8,1
Closure76,427,-1,-1
Closure77,1228,-1,-1
Closure78,1,1,0
Closure79,33,49,16
Closure80,10,20,10
Closure81,187,-1,-1
Closure82,502,-1,-1
Closure83,10,10,0
Closure84,207,-1,-1
Closure85,265,-1,-1
Closure86,2,2,0
Closure87,154,-1,-1
Closure88,70,69,-1
Closure89,399,-1,-1
Closure90,38,46,8
Closure91,1003,-1,-1
Closure92,80,85,5
Closure93,80,85,5
Closure94,5,4,-1
Closure95,734,-1,-1
Closure96,108,-1,-1
Closure97,11,1,-10
Closure98,99,-1,-1
Closure99,34,22,-12
Closure100,7,7,0
Closure101,360,-1,-1
Closure102,388,-1,-1
Closure103,136,-1,-1
Closure104,7,13,6
Closure105,44,7,-37
Closure106,4,26,22
Closure107,510,-1,-1
Closure108,199,-1,-1
Closure109,13,33,20
Closure110,3,2,-1
Closure111,1,1,0
Closure112,94,89,-5
Closure113,8,17,9
Closure114,635,-1,-1
Closure115,7,8,1
Closure116,9,14,5
Closure117,606,-1,-1
Closure118,1,2,1
Closure120,71,-1,-1
Closure121,711,-1,-1
Closure122,4,9,5
Closure123,661,-1,-1
Closure124,9,10,1
Closure125,830,-1,-1
Closure126,26,5,-21
Closure127,446,-1,-1
Closure128,235,-1,-1
Closure129,705,-1,-1
Closure130,308,-1,-1
Closure131,406,-1,-1
Closure132,73,80,7
Closure133,78,-1,-1
Lang1,3,3,0
Lang2,3,3,0
Lang3,13,3,-10
Lang4,2,2,0
Lang5,2,1,-1
Lang6,81,98,17
Lang7,10,-1,-1
Lang8,4,8,4
Lang9,89,92,3
Lang10,46,48,2
Lang11,5,3,-2
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,9,-1,-1
Lang16,41,27,-14
Lang17,55,102,47
Lang18,26,41,15
Lang19,4,8,4
Lang20,2,8,6
Lang21,1,2,1
Lang22,24,26,2
Lang24,16,64,48
Lang26,9,7,-2
Lang27,127,-1,-1
Lang28,2,3,1
Lang30,1,8,7
Lang31,3,4,1
Lang32,12,26,14
Lang33,3,7,4
Lang34,63,61,-2
Lang35,2,2,0
Lang36,35,42,7
Lang37,1,6,5
Lang38,1,3,2
Lang39,35,27,-8
Lang40,1,2,1
Lang41,5,6,1
Lang42,8,13,5
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,9,5,-4
Lang48,2,2,0
Lang49,1,1,0
Lang50,14,8,-6
Lang53,32,16,-16
Lang54,3,3,0
Lang55,3,7,4
Lang57,3,6,3
Lang58,4,20,16
Lang59,1,6,5
Lang60,2,2,0
Lang61,4,21,17
Lang62,3,4,1
Lang63,1,1,0
Lang64,3,4,1
Lang65,7,7,0
Math1,11,11,0
Math2,39,44,5
Math3,5,3,-2
Math4,13,17,4
Math5,1,1,0
Math6,138,-1,-1
Math7,43,42,-1
Math8,2,4,2
Math9,1,1,0
Math10,14,12,-2
Math11,49,31,-18
Math13,105,-1,-1
Math14,83,99,16
Math15,163,-1,-1
Math16,423,-1,-1
Math17,103,-1,-1
Math18,10,14,4
Math19,42,56,14
Math20,40,-1,-1
Math21,18,41,23
Math22,1,1,0
Math23,39,-1,-1
Math24,57,-1,-1
Math25,1,1,0
Math26,37,38,1
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,19,41,22
Math31,112,101,-11
Math32,1,4,3
Math33,29,44,15
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,11,6,-5
Math38,7,5,-2
Math39,180,-1,-1
Math40,41,33,-8
Math41,31,43,12
Math42,52,72,20
Math43,57,62,5
Math44,13,14,1
Math45,1,1,0
Math46,2,1,-1
Math47,2,2,0
Math48,43,-1,-1
Math49,91,7,-84
Math50,1,1,0
Math51,26,30,4
Math52,7,22,15
Math53,1,1,0
Math54,376,-1,-1
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,350,-1,-1
Math59,1,2,1
Math60,33,36,3
Math61,1,1,0
Math62,146,-1,-1
Math63,1,1,0
Math64,45,-1,-1
Math65,14,41,27
Math66,73,81,8
Math67,62,8,-54
Math68,36,-1,-1
Math69,34,44,10
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,1,1,0
Math74,179,-1,-1
Math75,1,1,0
Math76,58,99,41
Math77,1,19,18
Math78,28,-1,-1
Math79,20,29,9
Math80,4,14,10
Math81,1,10,9
Math82,81,-1,-1
Math83,9,40,31
Math84,35,45,10
Math85,57,77,20
Math86,69,71,2
Math87,105,-1,-1
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,9,6,-3
Math95,2,15,13
Math96,7,5,-2
Math97,1,1,0
Math98,1,4,3
Math99,3,4,1
Math100,16,9,-7
Math101,13,12,-1
Math102,4,3,-1
Math103,33,32,-1
Math105,3,25,22
Math106,42,10,-32
Mockito1,2,2,0
Mockito2,5,3,-2
Mockito3,1,1,0
Mockito4,4,5,1
Mockito6,2,1,-1
Mockito7,36,50,14
Mockito8,43,31,-12
Mockito9,310,-1,-1
Mockito10,10,12,2
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,98,85,-13
Mockito14,125,96,-29
Mockito15,147,-1,-1
Mockito16,5,4,-1
Mockito17,1,4,3
Mockito18,3,5,2
Mockito19,9,12,3
Mockito20,98,71,-27
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,119,-1,-1
Mockito24,5,5,0
Mockito25,59,62,3
Mockito26,243,-1,-1
Mockito27,27,42,15
Mockito28,104,-1,-1
Mockito29,14,31,17
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,3,2,-1
Mockito33,88,82,-6
Mockito34,47,51,4
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,4,4,0
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,13,30,17
Time5,13,26,13
Time6,11,3,-8
Time7,10,16,6
Time8,25,24,-1
Time9,3,3,0
Time10,139,-1,-1
Time11,437,-1,-1
Time12,4,4,0
Time13,18,19,1
Time14,1,5,4
Time15,2,2,0
Time16,15,7,-8
Time17,1,5,4
Time18,2,3,1
Time19,133,-1,-1
Time20,591,-1,-1
Time21,27,33,6
Time22,11,16,5
Time23,15,41,26
Time24,301,-1,-1
Time25,234,-1,-1
Time26,225,-1,-1
Time27,166,-1,-1
