Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,140,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,40,51,11
Chart2,org.jfree.data.general.DatasetUtilities#1242,18,34,16
Chart2,org.jfree.data.general.DatasetUtilities#1243,74,73,-1
Chart3,org.jfree.data.time.TimeSeries#1056,3,2,-1
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,182,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,4,5,1
Chart6,org.jfree.chart.util.ShapeList#111,91,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,20,29,9
Chart7,org.jfree.data.time.TimePeriodValues#302,44,28,-16
Chart8,org.jfree.data.time.Week#175,2,3,1
Chart9,org.jfree.data.time.TimeSeries#944,4,6,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,2,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,34,41,7
Chart13,org.jfree.chart.block.BorderArrangement#454,2,1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,15,2,-13
Chart14,org.jfree.chart.plot.XYPlot#2529,17,4,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2166,8,1,-7
Chart14,org.jfree.chart.plot.CategoryPlot#2448,16,3,-13
Chart15,org.jfree.chart.plot.PiePlot#2051,1,8,7
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,22,23,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,10,44,34
Chart18,org.jfree.data.DefaultKeyedValues2D#455,9,13,4
Chart18,org.jfree.data.DefaultKeyedValues2D#458,2,4,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,21,14,-7
Chart19,org.jfree.chart.plot.CategoryPlot#698,4,4,0
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,2,6,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,52,76,24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,48,36,-12
