Project,now,before,Difference
Chart5,1,1,0
Chart10,1,1,0
Chart12,14,16,2
Chart18,2,2,0
Chart20,3,3,0
Chart21,3,3,0
Chart22,7,7,0
Chart25,23,23,0
Chart26,21,19,-2
Closure6,31,31,0
Closure11,33,30,-3
Closure15,4,4,0
Closure16,1,1,0
Closure18,11,11,0
Closure19,27,27,0
Closure20,8,9,1
Closure21,7,7,0
Closure22,5,5,0
Closure24,4,6,2
Closure30,1,1,0
Closure33,2,2,0
Closure35,16,16,0
Closure39,22,22,0
Closure46,4,4,0
Closure49,2,2,0
Closure50,9,5,-4
Closure51,3,3,0
Closure58,15,15,0
Closure76,14,15,1
Closure77,17,15,-2
Closure81,21,21,0
Closure83,5,5,0
Closure85,3,3,0
Closure90,39,39,0
Closure91,5,5,0
Closure99,1,1,0
Closure101,43,43,0
Closure102,2,2,0
Closure103,24,24,0
Closure106,2,2,0
Closure110,6,6,0
Closure112,27,28,1
Closure115,14,14,0
Closure116,33,36,3
Closure124,10,9,-1
Closure126,22,21,-1
Closure131,10,13,3
Lang3,4,4,0
Lang4,5,5,0
Lang5,4,4,0
Lang10,7,7,0
Lang11,3,3,0
Lang12,1,1,0
Lang17,3,3,0
Lang19,3,3,0
Lang24,5,4,-1
Lang28,2,2,0
Lang30,2,2,0
Lang33,7,7,0
Lang50,3,3,0
Lang54,1,1,0
Lang55,1,1,0
Lang59,1,1,0
Lang63,7,8,1
Lang65,2,2,0
Math7,11,11,0
Math9,3,3,0
Math14,7,7,0
Math16,1,1,0
Math21,1,1,0
Math26,3,3,0
Math29,4,4,0
Math31,1,1,0
Math37,5,5,0
Math39,1,1,0
Math44,6,6,0
Math50,13,12,-1
Math51,7,8,1
Math53,1,1,0
Math56,1,1,0
Math57,4,4,0
Math60,1,1,0
Math62,7,7,0
Math65,16,16,0
Math66,6,7,1
Math68,21,23,2
Math74,4,4,0
Math76,1,1,0
Math78,4,3,-1
Math80,16,21,5
Math85,8,8,0
Math87,1,1,0
Math88,3,3,0
Math90,2,2,0
Math92,1,1,0
Math94,2,2,0
Math95,2,2,0
Math102,7,7,0
Math103,3,3,0
Mockito2,5,5,0
Mockito3,6,5,-1
Mockito8,2,2,0
Mockito9,3,4,1
Mockito11,1,1,0
Mockito12,9,9,0
Mockito14,12,11,-1
Mockito15,3,3,0
Mockito20,5,5,0
Mockito21,4,4,0
Mockito22,9,7,-2
Mockito23,6,4,-2
Mockito25,2,2,0
Mockito28,9,8,-1
Mockito30,3,3,0
Mockito31,3,3,0
Mockito35,2,2,0
Mockito37,5,3,-2
Mockito38,4,6,2
Time3,11,11,0
Time4,19,19,0
Time5,1,1,0
Time9,7,7,0
Time10,1,1,0
Time11,17,15,-2
Time17,15,20,5
Time18,14,19,5
Time21,1,1,0
Time23,2,2,0
Time24,20,20,0
Time26,20,20,0
