Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,114,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,112,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,38,34,-4
Chart2,org.jfree.data.general.DatasetUtilities#1243,123,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,3,2,-1
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,134,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,5,5,0
Chart6,org.jfree.chart.util.ShapeList#111,45,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,29,29,0
Chart7,org.jfree.data.time.TimePeriodValues#302,36,28,-8
Chart8,org.jfree.data.time.Week#175,2,3,1
Chart9,org.jfree.data.time.TimeSeries#944,4,6,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,2,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,201,-1,-1
Chart13,org.jfree.chart.block.BorderArrangement#454,1,1,0
Chart14,org.jfree.chart.plot.XYPlot#2293,14,2,-12
Chart14,org.jfree.chart.plot.XYPlot#2529,17,4,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2166,8,1,-7
Chart14,org.jfree.chart.plot.CategoryPlot#2448,16,3,-13
Chart15,org.jfree.chart.plot.PiePlot#2051,3,8,5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,22,23,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,23,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#455,10,13,3
