Project,MinRank1,MinRank2,Difference
Chart1,33,42,9
Chart2,91,92,1
Chart3,1,3,2
Chart4,232,-1,-1
Chart5,4,8,4
Chart6,41,57,16
Chart7,30,81,51
Chart8,2,1,-1
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,22,13,-9
Chart13,43,47,4
Chart14,19,6,-13
Chart15,22,29,7
Chart16,4,1,-3
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,7,3,-4
Chart22,1,12,11
Chart24,3,3,0
Chart25,233,-1,-1
Chart26,135,134,-1
Closure1,442,-1,-1
Closure2,84,95,11
Closure3,509,-1,-1
Closure4,738,-1,-1
Closure5,835,-1,-1
Closure6,1,1,0
Closure7,2,2,0
Closure8,122,123,1
Closure9,1,1,0
Closure10,205,-1,-1
Closure11,100,-1,-1
Closure12,135,-1,-1
Closure13,1984,-1,-1
Closure14,2,3,1
Closure15,1453,-1,-1
Closure16,104,111,7
Closure17,111,114,3
Closure18,281,-1,-1
Closure19,1,1,0
Closure20,4,2,-2
Closure21,7,7,0
Closure22,2,2,0
Closure23,3,8,5
Closure24,1,1,0
Closure25,105,107,2
Closure26,25,5,-20
Closure27,2,3,1
Closure29,1029,-1,-1
Closure30,366,-1,-1
Closure31,298,-1,-1
Closure32,38,35,-3
Closure33,571,-1,-1
Closure34,306,-1,-1
Closure35,7,6,-1
Closure36,933,-1,-1
Closure37,254,-1,-1
Closure38,411,-1,-1
Closure39,39,68,29
Closure40,109,120,11
Closure41,1822,-1,-1
Closure42,1,1,0
Closure43,661,-1,-1
Closure44,451,-1,-1
Closure45,673,-1,-1
Closure46,1,1,0
Closure47,2227,-1,-1
Closure48,1459,-1,-1
Closure49,120,-1,-1
Closure50,84,88,4
Closure51,206,-1,-1
Closure52,154,138,-16
Closure53,43,47,4
Closure54,33,39,6
Closure55,587,-1,-1
Closure56,39,59,20
Closure57,36,48,12
Closure58,4,7,3
Closure59,1421,-1,-1
Closure60,23,29,6
Closure61,104,115,11
Closure62,1,4,3
Closure63,1,4,3
Closure64,528,-1,-1
Closure65,65,71,6
Closure66,629,-1,-1
Closure67,400,-1,-1
Closure68,3,3,0
Closure69,1127,-1,-1
Closure70,879,-1,-1
Closure71,1182,-1,-1
Closure72,577,-1,-1
Closure73,460,-1,-1
Closure74,70,71,1
Closure75,7,8,1
Closure76,113,116,3
Closure77,1250,-1,-1
Closure78,1,1,0
Closure79,32,49,17
Closure80,10,20,10
Closure81,148,137,-11
Closure82,549,-1,-1
Closure83,10,10,0
Closure84,239,-1,-1
Closure85,265,-1,-1
Closure86,2,2,0
Closure87,195,150,-45
Closure88,68,69,1
Closure89,436,-1,-1
Closure90,31,46,15
Closure91,1028,-1,-1
Closure92,77,85,8
Closure93,77,85,8
Closure94,5,4,-1
Closure95,757,-1,-1
Closure96,137,-1,-1
Closure97,11,1,-10
Closure98,134,-1,-1
Closure99,36,22,-14
Closure100,6,7,1
Closure101,397,-1,-1
Closure102,427,-1,-1
Closure103,168,-1,-1
Closure104,6,13,7
Closure105,44,7,-37
Closure106,3,26,23
Closure107,408,132,-276
Closure108,235,-1,-1
Closure109,13,33,20
Closure110,3,2,-1
Closure111,1,1,0
Closure112,90,89,-1
Closure113,8,17,9
Closure114,667,-1,-1
Closure115,7,8,1
Closure116,9,14,5
Closure117,652,-1,-1
Closure118,1,2,1
Closure120,118,-1,-1
Closure121,741,-1,-1
Closure122,3,9,6
Closure123,699,-1,-1
Closure124,9,10,1
Closure125,868,-1,-1
Closure126,26,5,-21
Closure127,493,-1,-1
Closure128,142,133,-9
Closure129,742,-1,-1
Closure130,346,-1,-1
Closure131,442,-1,-1
Closure132,69,80,11
Closure133,90,-1,-1
Lang1,3,3,0
Lang2,3,3,0
Lang3,13,3,-10
Lang4,2,2,0
Lang5,2,1,-1
Lang6,41,98,57
Lang7,10,122,112
Lang8,4,8,4
Lang9,85,92,7
Lang10,45,48,3
Lang11,5,3,-2
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,9,-1,-1
Lang16,41,27,-14
Lang17,21,102,81
Lang18,25,41,16
Lang19,4,8,4
Lang20,2,8,6
Lang21,1,2,1
Lang22,24,26,2
Lang24,16,64,48
Lang26,15,7,-8
Lang27,138,127,-11
Lang28,2,3,1
Lang30,1,8,7
Lang31,3,4,1
Lang32,12,26,14
Lang33,3,7,4
Lang34,62,61,-1
Lang35,2,2,0
Lang36,27,42,15
Lang37,1,6,5
Lang38,1,3,2
Lang39,35,27,-8
Lang40,1,2,1
Lang41,5,6,1
Lang42,8,13,5
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,9,5,-4
Lang48,2,2,0
Lang49,1,1,0
Lang50,14,8,-6
Lang53,32,16,-16
Lang54,3,3,0
Lang55,3,7,4
Lang57,3,6,3
Lang58,4,20,16
Lang59,1,6,5
Lang60,2,2,0
Lang61,4,21,17
Lang62,3,4,1
Lang63,1,1,0
Lang64,3,4,1
Lang65,7,7,0
Math1,11,11,0
Math2,39,44,5
Math3,5,3,-2
Math4,13,17,4
Math5,1,1,0
Math6,138,-1,-1
Math7,43,42,-1
Math8,2,4,2
Math9,1,1,0
Math10,14,12,-2
Math11,48,31,-17
Math13,109,-1,-1
Math14,83,99,16
Math15,170,-1,-1
Math16,432,-1,-1
Math17,103,-1,-1
Math18,10,14,4
Math19,42,56,14
Math20,40,-1,-1
Math21,14,41,27
Math22,1,1,0
Math23,107,148,41
Math24,152,150,-2
Math25,1,1,0
Math26,37,38,1
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,19,41,22
Math31,112,101,-11
Math32,1,4,3
Math33,29,44,15
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,11,6,-5
Math38,7,5,-2
Math39,130,117,-13
Math40,48,33,-15
Math41,31,43,12
Math42,51,72,21
Math43,57,62,5
Math44,13,14,1
Math45,1,1,0
Math46,2,1,-1
Math47,2,2,0
Math48,43,-1,-1
Math49,139,7,-132
Math50,1,1,0
Math51,26,30,4
Math52,7,22,15
Math53,1,1,0
Math54,390,-1,-1
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,379,-1,-1
Math59,1,2,1
Math60,33,36,3
Math61,1,1,0
Math62,20,128,108
Math63,1,1,0
Math64,133,143,10
Math65,14,41,27
Math66,52,81,29
Math67,98,8,-90
Math68,127,127,0
Math69,34,44,10
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,1,1,0
Math74,193,-1,-1
Math75,1,1,0
Math76,40,99,59
Math77,1,19,18
Math78,27,117,90
Math79,20,29,9
Math80,4,14,10
Math81,1,10,9
Math82,82,-1,-1
Math83,9,40,31
Math84,55,45,-10
Math85,53,77,24
Math86,65,71,6
Math87,103,115,12
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,9,6,-3
Math95,2,15,13
Math96,7,5,-2
Math97,1,1,0
Math98,1,4,3
Math99,3,4,1
Math100,16,9,-7
Math101,13,12,-1
Math102,4,3,-1
Math103,33,32,-1
Math105,3,25,22
Math106,42,10,-32
Mockito1,2,2,0
Mockito2,6,3,-3
Mockito3,1,1,0
Mockito4,4,5,1
Mockito6,2,1,-1
Mockito7,36,50,14
Mockito8,43,31,-12
Mockito9,340,-1,-1
Mockito10,10,12,2
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,89,85,-4
Mockito14,103,96,-7
Mockito15,148,-1,-1
Mockito16,5,4,-1
Mockito17,1,4,3
Mockito18,3,5,2
Mockito19,9,12,3
Mockito20,93,71,-22
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,121,-1,-1
Mockito24,5,5,0
Mockito25,53,62,9
Mockito26,258,-1,-1
Mockito27,27,42,15
Mockito28,159,-1,-1
Mockito29,14,31,17
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,3,2,-1
Mockito33,82,82,0
Mockito34,47,51,4
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,4,4,0
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,13,30,17
Time5,11,26,15
Time6,11,3,-8
Time7,10,16,6
Time8,25,24,-1
Time9,3,3,0
Time10,182,-1,-1
Time11,453,-1,-1
Time12,4,4,0
Time13,18,19,1
Time14,1,5,4
Time15,2,2,0
Time16,15,7,-8
Time17,1,5,4
Time18,2,3,1
Time19,162,-1,-1
Time20,613,-1,-1
Time21,26,33,7
Time22,11,16,5
Time23,15,41,26
Time24,339,-1,-1
Time25,273,-1,-1
Time26,263,-1,-1
Time27,198,-1,-1
